Designator,Mid X,Mid Y,Rotation,Layer
C1,149.05,-103.92,270.0,top
C10,134.825,-105.975,0.0,bottom
C100,117.62,-111.25,0.0,top
C101,113.62,-110.075,180.0,top
C102,113.62,-111.175,180.0,top
C103,117.65,-113.3,180.0,top
C104,116.075,-114.805,270.0,top
C105,118.15,-116.88,270.0,top
C106,117.125,-116.88,270.0,top
C11,153.825,-114.855,270.0,top
C12,155.35,-114.23,270.0,top
C13,149.825,-107.47,90.0,bottom
C14,157.225,-106.55,90.0,top
C15,154.218953,-103.234501,270.0,top
C16,155.518953,-103.834501,270.0,top
C17,128.275,-109.88,90.0,bottom
C18,123.145,-112.675,180.0,top
C19,132.175,-98.075,270.0,top
C2,148.025,-103.925,270.0,top
C20,132.418953,-102.534501,90.0,bottom
C21,131.475,-114.075,270.0,top
C22,129.718953,-109.725,90.0,bottom
C23,131.9,-111.77,90.0,bottom
C24,133.09,-111.78,90.0,bottom
C25,122.895,-107.125,0.0,top
C26,129.275,-98.155,270.0,top
C27,138.318953,-100.034501,90.0,top
C28,135.725,-95.95,0.0,top
C29,133.12,-95.85,0.0,top
C3,149.575,-109.275,0.0,bottom
C30,133.675,-98.12,90.0,top
C31,137.45,-101.75,180.0,bottom
C32,133.97,-102.535,270.0,bottom
C33,136.9,-107.225,0.0,bottom
C34,130.45,-114.025,90.0,bottom
C35,129.4,-114.005,90.0,bottom
C36,130.45,-114.075,90.0,top
C37,150.618953,-103.834501,270.0,bottom
C38,149.625,-103.825,270.0,bottom
C39,145.22,-105.8,0.0,bottom
C4,152.5,-103.225,270.0,top
C40,145.795,-112.25,180.0,bottom
C41,123.225,-92.625,180.0,top
C42,123.22,-92.65,0.0,bottom
C43,125.42,-92.75,180.0,bottom
C44,123.005,-98.625,180.0,top
C45,123.038953,-99.634501,180.0,top
C46,125.175,-98.145,90.0,top
C47,126.2,-98.134501,90.0,top
C48,118.745,-104.075,180.0,top
C49,114.365,-105.99,180.0,top
C5,149.318953,-114.234501,90.0,top
C50,123.22,-96.425,0.0,top
C51,118.745,-107.05,180.0,top
C52,118.745,-102.075,180.0,top
C53,118.72,-98.05,0.0,top
C54,123.05,-102.075,180.0,top
C55,120.745,-98.025,0.0,top
C56,123.045,-101.0,180.0,top
C57,118.72,-96.975,180.0,top
C58,118.745,-95.95,180.0,top
C59,118.745,-101.075,180.0,top
C6,150.8,-114.205,90.0,top
C60,128.275,-98.145,90.0,top
C61,123.195,-95.175,0.0,top
C62,118.745,-100.075,180.0,top
C63,127.3,-98.145,90.0,top
C64,122.97,-103.525,180.0,top
C65,122.97,-104.725,180.0,top
C66,118.745,-105.05,180.0,top
C67,118.745,-106.05,180.0,top
C69,122.38,-103.51,0.0,bottom
C7,152.418953,-114.734501,90.0,top
C70,156.24,-93.66,270.0,top
C71,123.145,-111.65,180.0,top
C72,122.895,-106.125,0.0,top
C73,128.625,-102.23,270.0,bottom
C74,101.57,-109.67,90.0,top
C75,106.75,-118.775,270.0,top
C76,108.17,-118.54,90.0,top
C77,142.018953,-95.434501,0.0,top
C78,104.25,-104.225,270.0,top
C79,125.2,-104.275,180.0,bottom
C8,134.895,-108.5,0.0,bottom
C80,125.195,-103.275,0.0,bottom
C81,115.72,-112.25,0.0,top
C82,115.695,-110.225,0.0,top
C83,115.705,-111.25,0.0,top
C84,101.725,-115.275,0.0,top
C85,101.44,-116.61,0.0,top
C86,99.05,-112.4,90.0,top
C87,100.1,-112.4,90.0,top
C88,104.1,-119.45,270.0,top
C89,111.31,-121.69,90.0,top
C9,157.2,-109.125,90.0,top
C90,113.91,-124.965,270.0,top
C91,112.32,-124.975,270.0,top
C92,110.72,-125.0,270.0,top
C93,109.14,-125.0,270.0,top
C94,102.45,-125.1,270.0,top
C95,168.2,-117.33,270.0,top
C96,168.18,-113.07,270.0,top
C97,168.21,-110.85,270.0,top
C98,162.975,-119.5,0.0,top
C99,168.2,-115.13,270.0,top
D1,135.8375,-93.1,0.0,top
D2,147.1125,-93.0,0.0,top
D3,110.2875,-127.825,180.0,top
D4,171.24,-107.52,90.0,bottom
J1,102.275,-95.355,270.0,top
J2,176.26,-105.53,90.0,top
J3,131.69,-123.87,0.0,top
J4,105.39,-146.73,0.0,top
L1,135.8,-98.025,180.0,top
L10,115.715,-108.74,0.0,top
L11,105.75,-124.625,0.0,top
L12,115.685,-107.7,0.0,top
L13,117.625,-110.225,180.0,top
L14,114.075,-108.525,270.0,top
L15,117.64,-112.25,0.0,top
L16,115.675,-113.3,0.0,top
L17,117.65,-114.325,0.0,top
L18,117.64,-115.325,180.0,top
L2,120.74,-103.125,0.0,top
L3,120.765,-100.025,180.0,top
